"station","location","platform","variable","value"
"Zone 2B_3","Surface","Sonde","temperature",14.03
"Zone 2B_3","Surface","Sonde","salinity",32.36
"Zone 2B_3","Surface","Sonde","turbidity",10.4
"Zone 2B_3","Surface","Sonde","chl",1.99
"Zone 2B_3","Bottom","CastAway","temperature",14.0730539997359
"Zone 2B_3","Bottom","CastAway","salinity",32.2083583276808
"Zone 2B_3","Bottom","Sonde","temperature",14.18
"Zone 2B_3","Bottom","Sonde","salinity",32.32
"Zone 2B_3","Bottom","Sonde","turbidity",6.4
"Zone 2B_3","Bottom","Sonde","chl",1.92
"Zone 3_1","Surface","CastAway","temperature",14.732932963154
"Zone 3_1","Surface","CastAway","salinity",30.8458047208635
"Zone 3_1","Surface","Sonde","temperature",13.99
"Zone 3_1","Surface","Sonde","salinity",32.37
"Zone 3_1","Surface","Sonde","turbidity",6.4
"Zone 3_1","Surface","Sonde","chl",1.22
"Zone 3_1","Bottom","CastAway","temperature",14.0411790334047
"Zone 3_1","Bottom","CastAway","salinity",32.2049662602826
"Zone 3_1","Bottom","Sonde","temperature",14.11
"Zone 3_1","Bottom","Sonde","salinity",32.29
"Zone 3_1","Bottom","Sonde","turbidity",5.6
"Zone 3_1","Bottom","Sonde","chl",1.83
"Zone 3_2","Surface","CastAway","temperature",14.8798937232519
"Zone 3_2","Surface","CastAway","salinity",31.0516151800241
"Zone 3_2","Surface","Sonde","temperature",13.99
"Zone 3_2","Surface","Sonde","salinity",32.32
"Zone 3_2","Surface","Sonde","turbidity",4.8
"Zone 3_2","Surface","Sonde","chl",1.48
"Zone 3_2","Bottom","CastAway","temperature",14.0323699696582
"Zone 3_2","Bottom","CastAway","salinity",32.1552954776914
"Zone 3_2","Bottom","Sonde","temperature",14.3
"Zone 3_2","Bottom","Sonde","salinity",32.19
"Zone 3_2","Bottom","Sonde","turbidity",5
"Zone 3_2","Bottom","Sonde","chl",1.57
"Zone 3_3","Surface","CastAway","temperature",14.3736465591349
"Zone 3_3","Surface","CastAway","salinity",31.6687107894543
"Zone 3_3","Surface","Sonde","temperature",13.97
"Zone 3_3","Surface","Sonde","salinity",32.36
"Zone 3_3","Surface","Sonde","turbidity",7.3
"Zone 3_3","Surface","Sonde","chl",1.3
"Zone 3_3","Bottom","CastAway","temperature",14.0071623286829
"Zone 3_3","Bottom","CastAway","salinity",32.1955643683899
"Zone 3_3","Bottom","Sonde","temperature",14.1
"Zone 3_3","Bottom","Sonde","salinity",32.28
"Zone 3_3","Bottom","Sonde","turbidity",6
"Zone 3_3","Bottom","Sonde","chl",1.69
