Time,Conductivity,Temperature,Pressure,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly
2023-09-13 14:25:37.500,35.0718095,15.5770017,11.2786198,1.1461198,1.1367736,27.5465008,1499.8833719,42765.6941691,20.1189407
2023-09-13 14:25:38.000,35.0640139,15.5777439,11.2734971,1.1409971,1.1316927,27.5391988,1499.8772247,42755.4491137,20.1131568
2023-09-13 14:25:38.500,35.0657987,15.5776336,11.2558141,1.1233141,1.1141538,27.5408351,1499.8784692,42757.7353348,20.1143568
2023-09-13 14:25:39.000,35.0715368,15.5772524,11.2537849,1.1212849,1.1121412,27.5460966,1499.8832933,42765.1118501,20.1184663
2023-09-13 14:25:39.500,35.0670373,15.5762695,11.2797062,1.1472062,1.1378512,27.5428566,1499.8768532,42760.6044394,20.1163037
2023-09-13 14:25:40.000,35.0779479,15.5736818,11.3515186,1.2190186,1.2090780,27.5541363,1499.8828164,42776.4873791,20.1258294
2023-09-13 14:25:40.500,35.0827013,15.5691285,11.3495161,1.2170161,1.2070918,27.5614522,1499.8767247,42786.8229597,20.1323986
2023-09-13 14:25:41.000,35.0825183,15.5668267,11.3631701,1.2306701,1.2206344,27.5628945,1499.8712842,42788.8945489,20.1340536
2023-09-13 14:25:41.500,35.0868184,15.5657185,11.3708507,1.2383507,1.2282524,27.5674099,1499.8730925,42795.2442780,20.1377880
2023-09-13 14:25:42.000,35.0860866,15.5656584,11.3687672,1.2362672,1.2261858,27.5668153,1499.8721802,42794.4116855,20.1373350
2023-09-13 14:25:42.500,35.0811346,15.5679199,11.3648817,1.2323817,1.2223321,27.5609261,1499.8725227,42786.1169430,20.1323194
2023-09-13 14:25:43.000,35.0867815,15.5685117,11.3664030,1.2339030,1.2238410,27.5654300,1499.8796300,42792.4141577,20.1356575
2023-09-13 14:25:43.500,35.0821016,15.5683963,11.3654508,1.2329508,1.2228965,27.5614356,1499.8746373,42786.8213892,20.1326121
2023-09-13 14:25:44.000,35.0830491,15.5680252,11.3482478,1.2157478,1.2058338,27.5625252,1499.8744284,42788.3469482,20.1334499
2023-09-13 14:25:44.500,35.0852877,15.5671627,11.3494727,1.2169727,1.2070487,27.5650761,1499.8746455,42791.9373038,20.1355956
2023-09-13 14:25:45.000,35.0845423,15.5658890,11.3659237,1.2334237,1.2233656,27.5653104,1499.8711312,42792.2980800,20.1361185
2023-09-13 14:25:45.500,35.0871481,15.5651218,11.3615261,1.2290261,1.2190038,27.5681165,1499.8718532,42796.2414879,20.1384148
2023-09-13 14:25:46.000,35.0857613,15.5659392,11.3522593,1.2197593,1.2098126,27.5663414,1499.8722548,42793.7348773,20.1368380
2023-09-13 14:25:46.500,35.0817200,15.5681105,11.3475937,1.2150937,1.2051850,27.5613086,1499.8732851,42786.6409754,20.1324952
2023-09-13 14:25:47.000,35.0863276,15.5692588,11.3513725,1.2188725,1.2089331,27.5645182,1499.8807089,42791.1155473,20.1347324
2023-09-13 14:25:47.500,35.0697535,15.5710090,11.3599127,1.2274127,1.2174036,27.5488633,1499.8683581,42769.1578537,20.1223858
2023-09-13 14:25:48.000,35.0730685,15.5717160,11.3589064,1.2264064,1.2164055,27.5512568,1499.8733554,42772.4960321,20.1240685
2023-09-13 14:25:48.500,35.0769836,15.5703019,11.3528652,1.2203652,1.2104135,27.5556539,1499.8738260,42778.6800399,20.1277153
2023-09-13 14:25:49.000,35.0786605,15.5697352,11.3489264,1.2164264,1.2065069,27.5575106,1499.8740988,42781.2899672,20.1292425
2023-09-13 14:25:49.500,35.0839607,15.5686621,11.3548851,1.2223851,1.2124170,27.5628725,1499.8769673,42788.8239084,20.1336114
2023-09-13 14:25:50.000,35.0834153,15.5679751,11.3624032,1.2299032,1.2198737,27.5628744,1499.8749058,42788.8435644,20.1337919
2023-09-13 14:25:50.500,35.0680783,15.5674536,11.3615828,1.2290828,1.2190600,27.5498838,1499.8582397,42770.6578664,20.1239287
2023-09-13 14:25:51.000,35.0750362,15.5711544,11.3578851,1.2253851,1.2153925,27.5533620,1499.8739792,42775.4554597,20.1257985
2023-09-13 14:25:51.500,35.0612127,15.5738423,11.3577082,1.2252082,1.2152170,27.5394528,1499.8664856,42755.9195187,20.1145542
2023-09-13 14:25:52.000,35.0605758,15.5765253,11.3590126,1.2265126,1.2165108,27.5370276,1499.8722527,42752.4704867,20.1121312
2023-09-13 14:25:52.500,35.0581515,15.5775483,11.3644346,1.2319346,1.2218886,27.5342025,1499.8723402,42748.4955043,20.1097708
2023-09-13 14:25:53.000,35.0566220,15.5788873,11.3669752,1.2344752,1.2244085,27.5319372,1499.8740320,42745.2971774,20.1077603
2023-09-13 14:25:53.500,35.0552554,15.5800809,11.3663166,1.2338166,1.2237553,27.5299161,1499.8754897,42742.4424200,20.1059537
2023-09-13 14:25:54.000,35.0537823,15.5821672,11.3624835,1.2299835,1.2199535,27.5271816,1499.8789141,42738.5694036,20.1033965
2023-09-13 14:25:54.500,35.0575500,15.5851010,11.3580318,1.2255318,1.2155380,27.5284181,1499.8896085,42740.2421965,20.1037044
2023-09-13 14:25:55.000,35.0575511,15.5877636,11.3528009,1.2203009,1.2103498,27.5265658,1499.8958616,42737.5932002,20.1016959
2023-09-13 14:25:55.500,35.0586454,15.5846948,11.3679354,1.2354354,1.2253608,27.5296513,1499.8899018,42741.9821412,20.1047811
2023-09-13 14:25:56.000,35.0565684,15.5839124,11.3683185,1.2358185,1.2257408,27.5283886,1499.8859602,42740.2287933,20.1039795
2023-09-13 14:25:56.500,35.0592279,15.5837168,11.3614186,1.2289186,1.2188972,27.5308417,1499.8880539,42743.6658361,20.1058726
2023-09-13 14:25:57.000,35.0539301,15.5874231,11.3466368,1.2141368,1.2042360,27.5236539,1499.8913159,42733.5178549,20.0995057
2023-09-13 14:25:57.500,35.0556408,15.5921275,11.3360516,1.2035516,1.1937370,27.5218691,1499.9040582,42730.9214165,20.0970927
2023-09-13 14:25:58.000,35.0549857,15.5909138,11.3338853,1.2013853,1.1915884,27.5221452,1499.9004771,42731.3306806,20.0975518
2023-09-13 14:25:58.500,35.0593576,15.5896549,11.3348154,1.2023154,1.1925110,27.5268261,1499.9018858,42737.9129448,20.1014148
2023-09-13 14:25:59.000,35.0595389,15.5841983,11.3225605,1.1900605,1.1803560,27.5307895,1499.8888841,42743.5657001,20.1055567
2023-09-13 14:25:59.500,35.0611593,15.5819014,11.3002459,1.1677459,1.1582233,27.5338077,1499.8846843,42747.8282542,20.1082593
2023-09-13 14:26:00.000,35.0583755,15.5827941,11.2928898,1.1603898,1.1509273,27.5307651,1499.8838943,42743.5453546,20.1057024
2023-09-13 14:26:00.500,35.0510170,15.5871122,11.2912624,1.1587624,1.1493131,27.5213533,1499.8867559,42730.2759961,20.0975582
2023-09-13 14:26:01.000,35.0541868,15.5889327,11.2670627,1.1345627,1.1253107,27.5228515,1499.8938804,42732.3283363,20.0982142
2023-09-13 14:26:01.500,35.0521097,15.5879497,11.2177697,1.0852697,1.0764197,27.5217447,1499.8886588,42730.7745447,20.0973523
2023-09-13 14:26:02.000,35.0516396,15.5886468,11.1584164,1.0259164,1.0175504,27.5208693,1499.8888869,42729.5077692,20.0962673
2023-09-13 14:26:02.500,35.0401838,15.5922930,11.1163328,0.9838328,0.9758100,27.5083759,1499.8853842,42711.9155798,20.0857194
2023-09-13 14:26:03.000,35.0359588,15.5958039,11.0846311,0.9521311,0.9443668,27.5022666,1499.8889877,42703.2741377,20.0801459
2023-09-13 14:26:03.500,35.0255229,15.5979205,11.0406364,0.9081364,0.9007308,27.4917295,1499.8828412,42688.4505910,20.0714148
2023-09-13 14:26:04.000,35.0187491,15.6002027,10.9799908,0.8474908,0.8405798,27.4842696,1499.8804963,42677.9269451,20.0649354
2023-09-13 14:26:04.500,34.9983883,15.6080074,10.9098528,0.7773528,0.7710137,27.4611595,1499.8775172,42645.3634465,20.0452346
2023-09-13 14:26:05.000,34.9930697,15.6222236,10.8548846,0.7223846,0.7164938,27.4466802,1499.9051433,42624.7767081,20.0308666
2023-09-13 14:26:05.500,34.9222148,15.6389497,10.8132584,0.6807584,0.6752071,27.3735314,1499.8733006,42521.9178378,19.9710083
2023-09-13 14:26:06.000,34.9646943,15.6579409,10.7741323,0.6416323,0.6364001,27.3972873,1499.9604388,42554.8419656,19.9850339
2023-09-13 14:26:06.500,34.9282664,15.6813260,10.7213975,0.5888975,0.5840952,27.3495052,1499.9788040,42487.4039847,19.9431759
2023-09-13 14:26:07.000,34.8757383,15.7028176,10.6740144,0.5415144,0.5370985,27.2891257,1499.9767025,42402.3300700,19.8920796
2023-09-13 14:26:07.500,34.8570708,15.7169932,10.6372831,0.5047831,0.5006668,27.2631898,1499.9912264,42365.6843915,19.8690082
2023-09-13 14:26:08.000,34.9071782,15.7361557,10.6284468,0.4959468,0.4919025,27.2934122,1500.0867386,42407.7160694,19.8880788
2023-09-13 14:26:08.500,34.8742073,15.7211147,10.6292673,0.4967673,0.4927164,27.2752049,1500.0180265,42382.4562178,19.8773135
